"시점","행정구역별(1)",데이터
"2012","전국(평균)",12.3
"2012","서울특별시",12.2
"2012","부산광역시",14.5
"2012","대구광역시",14.1
"2012","인천광역시",11.1
"2012","광주광역시",13.7
"2012","대전광역시",12.6
"2012","울산광역시",13.7
"2012","경기도",11.3
"2012","강원도",10.5
"2012","충청북도",11.1
"2012","충청남도",11.7
"2012","전라북도",12.3
"2012","전라남도",13.2
"2012","경상북도",11.8
"2012","경상남도",13.3
"2012","제주특별자치도",15.9
"2013","전국(평균)",12.9
"2013","서울특별시",12.5
"2013","부산광역시",15.3
"2013","대구광역시",15.0
"2013","인천광역시",11.1
"2013","광주광역시",14.2
"2013","대전광역시",13.1
"2013","울산광역시",14.8
"2013","경기도",11.6
"2013","강원도",11.2
"2013","충청북도",11.6
"2013","충청남도",12.1
"2013","전라북도",12.7
"2013","전라남도",13.7
"2013","경상북도",12.5
"2013","경상남도",14.0
"2013","제주특별자치도",16.3
"2014","전국(평균)",13.1
"2014","서울특별시",13.4
"2014","부산광역시",15.1
"2014","대구광역시",14.5
"2014","인천광역시",12.1
"2014","광주광역시",14.3
"2014","대전광역시",13.4
"2014","울산광역시",14.7
"2014","경기도",12.2
"2014","강원도",11.7
"2014","충청북도",12.0
"2014","충청남도",12.6
"2014","전라북도",12.9
"2014","전라남도",13.8
"2014","경상북도",12.5
"2014","경상남도",13.8
"2014","제주특별자치도",16.1
"2015","전국(평균)",13.4
"2015","서울특별시",13.6
"2015","부산광역시",15.4
"2015","대구광역시",14.8
"2015","인천광역시",12.3
"2015","광주광역시",14.6
"2015","대전광역시",14.0
"2015","울산광역시",15.0
"2015","경기도",12.6
"2015","강원도",12.0
"2015","충청북도",12.4
"2015","충청남도",12.9
"2015","전라북도",13.2
"2015","전라남도",14.0
"2015","경상북도",13.0
"2015","경상남도",14.0
"2015","제주특별자치도",16.2
"2016","전국(평균)",13.6
"2016","서울특별시",13.6
"2016","부산광역시",15.7
"2016","대구광역시",14.6
"2016","인천광역시",12.4
"2016","광주광역시",15.0
"2016","대전광역시",14.0
"2016","울산광역시",14.8
"2016","경기도",12.7
"2016","강원도",12.0
"2016","충청북도",12.6
"2016","충청남도",13.1
"2016","전라북도",13.5
"2016","전라남도",14.3
"2016","경상북도",13.2
"2016","경상남도",14.4
"2016","제주특별자치도",16.6
"2017","전국(평균)",13.1
"2017","서울특별시",13.0
"2017","부산광역시",15.2
"2017","대구광역시",14.4
"2017","인천광역시",11.9
"2017","광주광역시",14.6
"2017","대전광역시",13.4
"2017","울산광역시",14.5
"2017","경기도",11.8
"2017","강원도",11.5
"2017","충청북도",11.9
"2017","충청남도",12.3
"2017","전라북도",12.7
"2017","전라남도",13.8
"2017","경상북도",12.8
"2017","경상남도",14.1
"2017","제주특별자치도",16.4
"2018","전국(평균)",13.0
"2018","서울특별시",12.9
"2018","부산광역시",15.1
"2018","대구광역시",14.1
"2018","인천광역시",11.6
"2018","광주광역시",14.6
"2018","대전광역시",13.5
"2018","울산광역시",14.3
"2018","경기도",11.7
"2018","강원도",11.3
"2018","충청북도",11.9
"2018","충청남도",12.4
"2018","전라북도",12.9
"2018","전라남도",13.8
"2018","경상북도",12.7
"2018","경상남도",13.9
"2018","제주특별자치도",16.3
"2019","전국(평균)",13.5
