종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2020.12),추정PERlEPS,PBRlBPS (2020.12),배당수익률,동일업종 PER,동일업종 등락률,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),PERlEPS(2021.03),PBRlBPS (2021.03),배당수익률l2020.12,PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
신풍제약,64500.0,600.0,-0.92%,65300.0,65400.0,96105.0,6180.0,676611.0,2021-07-30,신풍제약,019170,"3조  3,698  억원",코스피 99위,52984990,500원  l  1주,52984990,4649634,8.78%,N/A  l  N/A,"214,000  l  59,500",,N/A  l  N/A,,,104.30배,-1.45%,,,,,,,,,,,,,,,,,739.53배  l  86원,"8.92배  l  7,132원",0.16%,,,,,
일동제약,15300.0,150.0,-0.97%,15450.0,15500.0,750.0,11.0,27504.0,2021-07-30,일동제약,249420,"3,630  억원",코스피 442위,23803285,"1,000원  l  1주",23803285,1055450,4.43%,N/A  l  N/A,"25,300  l  14,950",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -1,036원","1.53배  l  9,938원",,,,,,
유유제약1우,13400.0,150.0,-1.11%,13400.0,13600.0,351.0,4.0,19820.0,2021-07-30,유유제약1우,000225,297  억원,코스피 1127위,2266930,"1,000원  l  1주",2266930,18806,0.83%,N/A  l  N/A,"27,200  l  4,925",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -36원,"2.03배  l  6,438원",0.84%,,,,,
유한양행,61800.0,700.0,-1.12%,62600.0,62700.0,24039.0,1488.0,181743.0,2021-07-30,유한양행,000100,"4조  3,243  억원",코스피 74위,69972959,"1,000원  l  1주",69972959,12464576,17.81%,"4.00매수  l  87,444","81,000  l  52,247",,"46.00배  l  1,340원",,,104.30배,-1.39%,4353.0,199.0,252.0,4.58,5.8,,,,,335.0,183.78,,,,,,"45.08배  l  1,371원","2.18배  l  28,351원",0.62%,,,,,
녹십자,295000.0,3500.0,-1.17%,298500.0,299000.0,2751.0,814.0,70770.0,2021-07-30,녹십자,006280,"3조  4,066  억원",코스피 97위,11686538,"5,000원  l  1주",11686538,2420865,20.71%,"4.00매수  l  470,000","538,000  l  209,000",,"36.00배  l  8,026원",,,104.30배,-1.44%,4008.0,272.0,228.0,6.79,5.68,,,,,1583.0,188.56,,,,,,"34.02배  l  8,568원","2.97배  l  98,068원",0.51%,,,,,
조아제약 *,4475.0,60.0,-1.32%,4325.0,4535.0,179813.0,802.0,1810350.0,2021-07-30,조아제약,034940,"1,506  억원",코스닥 710위,30979827,500원  l  1주,30979827,374552,1.21%,N/A  l  N/A,"6,640  l  3,855",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -54원,"2.63배  l  1,845원",,,,,,
보령제약,17700.0,250.0,-1.39%,17950.0,18000.0,20279.0,361.0,202023.0,2021-07-30,보령제약,003850,1조  438  억원,코스피 227위,57670000,500원  l  1주,57670000,3622543,6.28%,"4.00매수  l  20,970","24,734  l  10,450",,27.00배  l  683원,,,104.30배,-1.44%,1458.0,118.0,85.0,8.09,5.83,,,,,,,,,,,,29.67배  l  610원,"3.11배  l  5,817원",0.41%,,,,,
프레스티지바이오로직스 *,14050.0,200.0,-1.40%,14300.0,14350.0,22827.0,323.0,196203.0,2021-07-30,프레스티지바이오로직스,334970,"6,538  억원",코스닥 121위,47206389,500원  l  1주,47206389,10148133,21.50%,N/A  l  N/A,"21,550  l  11,700",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -684원,"6.01배  l  2,304원",,,,,,
지트리비앤티 *,10250.0,150.0,-1.44%,10400.0,10450.0,17113.0,176.0,261771.0,2021-07-30,지트리비앤티,115450,"2,749  억원",코스닥 379위,27088019,500원  l  1주,27088019,1404322,5.18%,N/A  l  N/A,"33,550  l  9,860",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -712원,"3.13배  l  3,245원",,,,,,
비피도 *,15750.0,250.0,-1.56%,15650.0,15700.0,45591.0,712.0,2185540.0,2021-07-30,비피도,238200,"1,223  억원",코스닥 850위,8180000,500원  l  1주,8180000,73240,0.90%,N/A  l  N/A,"19,900  l  8,016",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,25.78배  l  580원,"2.36배  l  6,331원",,,,,,
신풍제약우,86400.0,1400.0,-1.59%,90000.0,90200.0,2587.0,224.0,26894.0,2021-07-30,신풍제약우,019175,"1,883  억원",코스피 650위,2200000,500원  l  1주,2200000,20470,0.93%,N/A  l  N/A,"280,000  l  62,200",,N/A  l  N/A,,,104.30배,-1.45%,,,,,,,,,,,,,,,,,995.35배  l  86원,"12.00배  l  7,132원",0.13%,,,,,
압타바이오 *,77700.0,1300.0,-1.65%,78900.0,79000.0,37249.0,2904.0,671245.0,2021-07-30,압타바이오,293780,"8,333  억원",코스닥 87위,11095233,500원  l  1주,11095233,512429,4.62%,N/A  l  N/A,"82,000  l  25,850",,N/A  l  N/A,,,104.30배,-1.45%,,,,,,,,,,,,,,,,,N/A  l  -554원,"12.09배  l  6,213원",,,,,,
한국파마 *,54800.0,1200.0,-2.14%,55400.0,55500.0,76816.0,4170.0,1143637.0,2021-07-30,한국파마,032300,"6,217  억원",코스닥 130위,10906701,500원  l  1주,10906701,10338,0.09%,N/A  l  N/A,"94,800  l  13,100",176.47배  l  323원,N/A  l  N/A,"13.27배  l  4,294원",,104.30배,-1.39%,,,,,,,,,,,,,,,,,,,0.09%,,,,,
