날짜,종가,전일비,시가,고가,저가,거래량,종목코드,종목명
2021.05.03,105000.0,4000.0,109000.0,109500.0,104500.0,390931.0,352820,하이브
2021.04.30,109000.0,2500.0,111500.0,111500.0,108500.0,264892.0,352820,하이브
2021.04.29,111500.0,3500.0,115000.0,115000.0,111000.0,315054.0,352820,하이브
2021.04.28,115000.0,500.0,114500.0,115500.0,112000.0,305629.0,352820,하이브
2021.04.27,114500.0,3000.0,118000.0,118500.0,114000.0,334035.0,352820,하이브
2021.04.26,117500.0,1000.0,119500.0,120000.0,117000.0,338233.0,352820,하이브
2021.04.23,118500.0,1000.0,116000.0,119000.0,115500.0,283501.0,352820,하이브
2021.04.22,117500.0,2500.0,120500.0,121000.0,117000.0,383676.0,352820,하이브
2021.04.21,120000.0,1000.0,118500.0,121000.0,117500.0,654108.0,352820,하이브
2021.04.20,119000.0,5500.0,114500.0,119500.0,114000.0,727766.0,352820,하이브
2021.04.19,113500.0,2000.0,111000.0,115500.0,110500.0,622540.0,352820,하이브
2021.04.16,111500.0,500.0,112500.0,113500.0,111000.0,242747.0,352820,하이브
2021.04.15,112000.0,500.0,112000.0,112000.0,109000.0,292030.0,352820,하이브
2021.04.14,111500.0,2500.0,114500.0,115000.0,111000.0,389050.0,352820,하이브
2021.04.13,114000.0,4000.0,111000.0,115500.0,111000.0,906936.0,352820,하이브
2021.04.12,110000.0,1000.0,110000.0,110500.0,107000.0,374629.0,352820,하이브
2021.04.09,109000.0,3500.0,106500.0,109500.0,105500.0,645787.0,352820,하이브
2021.04.08,105500.0,3000.0,102500.0,107000.0,101500.0,609482.0,352820,하이브
2021.04.07,102500.0,500.0,101500.0,103000.0,101000.0,252175.0,352820,하이브
2021.04.06,102000.0,1500.0,104000.0,104500.0,101000.0,346579.0,352820,하이브
2021.04.05,103500.0,1500.0,105500.0,106000.0,103000.0,217828.0,352820,하이브
2021.04.02,105000.0,500.0,105000.0,106000.0,104000.0,315577.0,352820,하이브
2021.04.01,104500.0,1500.0,103500.0,105000.0,102000.0,285824.0,352820,하이브
2021.03.31,103000.0,1000.0,108000.0,109000.0,102500.0,675835.0,352820,하이브
2021.03.30,104000.0,3000.0,101500.0,104500.0,100500.0,395848.0,352820,하이브
2021.03.29,101000.0,3000.0,104500.0,104500.0,100000.0,523105.0,352820,하이브
2021.03.26,104000.0,500.0,105000.0,105000.0,102000.0,300995.0,352820,하이브
2021.03.25,104500.0,2000.0,106000.0,106000.0,104000.0,328715.0,352820,하이브
2021.03.24,106500.0,1500.0,105500.0,107000.0,105000.0,232456.0,352820,하이브
2021.03.23,105000.0,0.0,106000.0,107500.0,104500.0,290725.0,352820,하이브
2021.07.14,130500.0,2000.0,132500.0,132500.0,129500.0,214600.0,352820,하이브
2021.07.13,132500.0,5000.0,129000.0,133000.0,128000.0,354269.0,352820,하이브
2021.07.12,127500.0,500.0,128500.0,128500.0,126500.0,181619.0,352820,하이브
2021.07.09,128000.0,2000.0,129000.0,130000.0,125000.0,425244.0,352820,하이브
2021.07.08,130000.0,500.0,129500.0,135000.0,129500.0,570279.0,352820,하이브
2021.07.07,129500.0,2000.0,131500.0,132000.0,128500.0,308334.0,352820,하이브
2021.07.06,131500.0,500.0,133000.0,133000.0,129500.0,302620.0,352820,하이브
2021.07.05,132000.0,3000.0,134500.0,137500.0,132000.0,645056.0,352820,하이브
2021.07.02,135000.0,7000.0,129000.0,135000.0,127000.0,1121805.0,352820,하이브
2021.07.01,128000.0,5000.0,123000.0,128500.0,122000.0,588182.0,352820,하이브
2021.06.16,123500.0,4500.0,119500.0,124000.0,119000.0,564885.0,352820,하이브
2021.06.15,119000.0,0.0,118500.0,120500.0,117000.0,346677.0,352820,하이브
2021.06.14,119000.0,2500.0,122000.0,122500.0,119000.0,354305.0,352820,하이브
2021.06.11,121500.0,500.0,121000.0,122000.0,118500.0,363126.0,352820,하이브
2021.06.10,121000.0,2000.0,118000.0,122000.0,117500.0,721843.0,352820,하이브
2021.06.09,119000.0,1000.0,120500.0,121000.0,116500.0,562473.0,352820,하이브
2021.06.08,120000.0,6000.0,114500.0,120500.0,114000.0,1184944.0,352820,하이브
2021.06.07,114000.0,500.0,114000.0,114500.0,112500.0,194269.0,352820,하이브
2021.06.04,113500.0,500.0,112500.0,113500.0,111500.0,201488.0,352820,하이브
2021.06.03,113000.0,500.0,113000.0,114000.0,112000.0,220038.0,352820,하이브
