종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
322130,2,KINDEX 스마트로우볼,17790,2,10,0.06,17823.0,0.469,21,0,125,시장지수,KINDEX,False,False,False
253290,7,KBSTAR 헬스케어채권혼합,12420,5,-50,-0.4,12421.0,-0.7561,10769,133,124,해외,KBSTAR,False,False,False
153270,1,KOSEF 코스피100,32520,2,55,0.17,32504.0,-1.3642,126,4,124,국내,KOSEF,False,False,False
251600,7,ARIRANG 고배당주채권혼합,11175,2,20,0.18,11195.0,0.6314,4593,51,123,해외,ARIRANG,False,False,False
360150,2,KODEX 코스닥150롱코스피200숏선물,8130,5,-130,-1.57,8113.0,1.3496,4110,33,122,시장지수,KODEX,False,False,False
100910,1,KOSEF KRX100,6765,5,-5,-0.07,6779.0,-1.0813,81,0,122,국내,KOSEF,False,False,False
337120,2,KODEX Fn멀티팩터,15150,5,-10,-0.07,15162.0,-1.0574,1002,15,121,시장지수,KODEX,False,False,False
219900,4,KINDEX 중국본토CSI300레버리지(합성),4990,5,-165,-3.2,,-4.0038,106635,529,120,업종/테마,KINDEX,False,True,False
292750,1,ARIRANG KRX300,19710,2,10,0.05,19718.0,-0.7107,23,0,118,국내,ARIRANG,False,False,False
381560,2,HANARO Fn전기&수소차,10655,5,-15,-0.14,10654.0,-0.2804,80495,856,117,시장지수,HANARO,False,False,False
322120,2,KINDEX 스마트퀄리티,19400,5,-105,-0.54,19473.0,-0.5406,366,7,116,시장지수,KINDEX,False,False,False
248260,4,TIGER 일본TOPIX헬스케어(합성),11500,5,-5,-0.04,,2.4032,1202,13,115,업종/테마,TIGER,False,False,False
139660,7,KOSEF 미국달러선물인버스,10335,5,-40,-0.39,10329.0,-3.7123,28,0,115,해외,KOSEF,True,False,False
244660,2,KODEX 퀄리티Plus,11440,5,-40,-0.35,11487.0,1.9538,860,9,114,시장지수,KODEX,False,False,False
300950,2,KODEX 게임산업,14220,5,-230,-1.59,14279.0,5.2133,9225,132,114,시장지수,KODEX,False,False,False
168300,1,KTOP 코스피50,30235,2,65,0.22,30353.0,-1.231,120,3,113,국내,KTOP,False,False,False
285000,2,KBSTAR 200IT,17135,5,-75,-0.44,17185.0,-3.9996,248,4,113,시장지수,KBSTAR,False,False,False
310080,4,KBSTAR 중국MSCI China(H),11835,5,-155,-1.29,,-16.8516,22979,269,112,업종/테마,KBSTAR,False,False,True
364690,1,KODEX 혁신기술테마액티브,14045,5,-45,-0.32,14109.0,1.6374,455,6,112,국내,KODEX,False,False,False
208470,4,SMART 선진국MSCI World(합성 H),18615,5,-75,-0.4,,3.9777,65,1,112,업종/테마,SMART,False,False,True
152500,3,KINDEX 레버리지,11120,2,55,0.5,11102.0,-1.7318,11551,127,111,국내,KINDEX,False,True,False
195920,4,TIGER 일본TOPIX(합성 H),15750,5,-190,-1.19,,1.2706,183130,2885,110,업종/테마,TIGER,False,False,True
277650,2,TIGER 코스피중형주,18235,5,-5,-0.03,18300.0,5.403,48314,880,109,시장지수,TIGER,False,False,False
108590,1,TREX 200,43690,2,105,0.24,43707.0,-0.062,35,1,109,국내,TREX,False,False,False
316300,7,KINDEX 싱가포르리츠,12130,5,-20,-0.16,,2.7484,2899,35,109,해외,KINDEX,False,False,False
352540,7,KODEX TSE일본리츠(H),13605,2,130,0.96,,5.4794,1713,23,109,해외,KODEX,False,False,True
265690,4,KINDEX 러시아MSCI(합성),30305,2,65,0.21,,12.8147,1425,43,106,업종/테마,KINDEX,False,False,False
145850,2,TREX 펀더멘탈 200,42320,2,10,0.02,42492.0,-1.1865,300,12,106,시장지수,TREX,False,False,False
271060,5,KODEX 3대농산물선물(H),10935,2,25,0.23,,-8.2037,11674,127,105,국내,KODEX,False,False,True
105780,2,KBSTAR 5대그룹주,8600,5,-5,-0.06,8613.0,-1.9262,2783,23,103,시장지수,KBSTAR,False,False,False
277640,2,TIGER 코스피대형주,15730,5,-50,-0.32,15843.0,-0.9914,232,3,102,시장지수,TIGER,False,False,False
196030,4,KINDEX 일본TOPIX레버리지(H),20395,5,-295,-1.43,,2.1224,1448,29,102,업종/테마,KINDEX,False,True,True
342140,7,KINDEX 모닝스타싱가포르리츠채권혼합,10105,2,30,0.3,,1.0025,3173,32,101,해외,KINDEX,False,False,False
185680,4,KODEX 미국S&P바이오(합성),31075,5,-235,-0.75,,-6.8155,1749,54,101,업종/테마,KODEX,False,False,False
226380,2,KINDEX Fn성장소비주도주,8310,5,-45,-0.54,8314.0,8.9308,1304,10,100,시장지수,KINDEX,False,False,False
253230,3,KOSEF 200선물인버스2X,1920,3,0,0.0,1917.0,-0.5182,58193,112,99,국내,KOSEF,True,False,False
272230,2,KINDEX 스마트밸류,16395,5,-15,-0.09,16420.0,0.3853,21,0,98,시장지수,KINDEX,False,False,False
205720,4,KINDEX 일본TOPIX인버스(합성 H),4440,2,30,0.68,,-2.2173,6498,28,98,업종/테마,KINDEX,True,False,True
101280,4,KODEX 일본TOPIX100,16245,2,45,0.28,,3.8128,917,14,97,업종/테마,KODEX,False,False,False
375270,7,KBSTAR 글로벌데이터센터리츠나스닥(합성),12085,2,60,0.5,,8.7251,1378,16,97,해외,KBSTAR,False,False,False
289250,2,TIGER MSCI KOREA ESG유니버설,12865,5,-25,-0.19,12904.0,-1.3697,696,8,96,시장지수,TIGER,False,False,False
322150,2,KINDEX 스마트하이베타,15815,3,0,0.0,15842.0,-0.2083,21,0,95,시장지수,KINDEX,False,False,False
266390,2,KODEX 경기소비재,13550,3,0,0.0,13597.0,6.7433,2236,30,95,시장지수,KODEX,False,False,False
137930,3,마이다스 200커버드콜5%OTM,15665,3,0,0.0,15689.0,0.6101,0,0,94,국내,마이다스,False,False,False
167860,6,KOSEF 국고채10년레버리지,133775,5,-110,-0.08,134007.0,4.0691,134,17,94,파생,KOSEF,False,True,False
261120,7,TIGER 미국달러선물인버스2X,9225,5,-120,-1.28,9256.0,-7.2457,31,0,92,해외,TIGER,True,False,False
272220,2,KINDEX 스마트모멘텀,18385,5,-20,-0.11,18415.0,-0.271,24,0,92,시장지수,KINDEX,False,False,False
225030,4,TIGER 미국S&P500선물인버스(H),3815,2,15,0.39,,-5.8241,42150,160,92,업종/테마,TIGER,True,False,True
226980,1,KODEX 200 중소형,15220,5,-35,-0.23,15218.0,7.8549,7168,109,91,국내,KODEX,False,False,False
159800,1,마이티 코스피100,32565,5,-10,-0.03,32608.0,-0.81,2,0,91,국내,마이티,False,False,False
131890,2,KINDEX 삼성그룹동일가중,18080,5,-5,-0.03,18149.0,4.3084,59,1,90,시장지수,KINDEX,False,False,False
275300,2,KODEX MSCI퀄리티,11300,5,-105,-0.92,11307.0,6.1127,101,1,90,시장지수,KODEX,False,False,False
183710,7,KBSTAR 주식혼합,45195,5,-290,-0.64,45326.0,-0.2304,2,0,90,해외,KBSTAR,False,False,False
271050,5,KODEX WTI원유선물인버스(H),8400,3,0,0.0,,-15.6627,14485,121,90,국내,KODEX,True,False,True
189400,4,ARIRANG 글로벌MSCI(합성 H),17530,5,-125,-0.71,,3.6395,719,12,89,업종/테마,ARIRANG,False,False,True
251890,1,KINDEX 코스닥(합성),14815,5,-200,-1.33,14864.0,2.282,11,0,89,국내,KINDEX,False,False,False
381570,2,HANARO Fn친환경에너지,10350,5,-55,-0.53,10354.0,-1.3745,20131,208,88,시장지수,HANARO,False,False,False
174350,2,TIGER 로우볼,12550,2,75,0.6,12555.0,3.7767,1153,14,85,시장지수,TIGER,False,False,False
105010,4,TIGER 라틴35,3710,5,-15,-0.4,,13.2218,18770,69,85,업종/테마,TIGER,False,False,False
315270,2,TIGER 200커뮤니케이션서비스,35295,2,50,0.14,35350.0,9.3003,261,9,85,시장지수,TIGER,False,False,False
333970,2,ARIRANG KS밸류가중TR,16905,2,25,0.15,16944.0,0.8363,21,0,85,시장지수,ARIRANG,False,False,False
256450,4,ARIRANG 심천차이넥스트(합성),14075,5,-240,-1.68,,14.2914,6157,85,84,업종/테마,ARIRANG,False,False,False
261140,2,TIGER 우선주,14560,5,-90,-0.61,14615.0,-2.3789,693,10,84,시장지수,TIGER,False,False,False
275280,2,KODEX MSCI모멘텀,14060,5,-130,-0.92,14157.0,-0.2601,4,0,84,시장지수,KODEX,False,False,False
138920,5,KODEX 콩선물(H),11980,5,-90,-0.75,,-5.6294,4939,59,84,국내,KODEX,False,False,True
104530,2,KOSEF 고배당,9285,2,50,0.54,9285.0,6.9113,1406,13,84,시장지수,KOSEF,False,False,False
307510,2,TIGER 의료기기,20815,5,-330,-1.56,20896.0,-3.9039,3571,74,83,시장지수,TIGER,False,False,False
228820,1,TIGER KTOP30,11775,5,-10,-0.08,11825.0,0.9508,493,5,82,국내,TIGER,False,False,False
234310,2,KBSTAR V&S셀렉트밸류,16390,5,-5,-0.03,16442.0,2.4623,115,1,82,시장지수,KBSTAR,False,False,False
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,10240,5,-140,-1.35,,,1540,15,82,업종/테마,KOSEF,False,False,False
305050,1,KINDEX 코스피,32710,5,-40,-0.12,32754.0,0.8778,65,2,82,국내,KINDEX,False,False,False
394340,4,KOSEF 릭소글로벌디지털경제MSCI,10200,5,-70,-0.68,,,1820,18,82,업종/테마,KOSEF,False,False,False
368470,2,KINDEX Fn K-뉴딜디지털플러스,16285,5,-120,-0.73,16279.0,5.5662,328,5,81,시장지수,KINDEX,False,False,False
291630,3,KOSEF 코스닥150선물레버리지,6720,5,-175,-2.54,6717.0,1.997,11014,74,81,국내,KOSEF,False,True,False
319870,2,KBSTAR KRX300미국달러선물혼합,16260,2,70,0.43,16243.0,2.5982,114,1,81,시장지수,KBSTAR,False,False,False
291130,4,KINDEX 멕시코MSCI(합성),10090,2,115,1.15,,6.5705,491,4,81,업종/테마,KINDEX,False,False,False
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),13435,5,-180,-1.32,,-14.4249,1478,19,81,업종/테마,TIGER,False,True,True
237440,7,TIGER 경기방어채권혼합,9990,5,-25,-0.25,10010.0,-0.3483,3014,30,80,해외,TIGER,False,False,False
227550,2,TIGER 200 산업재,7490,2,25,0.33,7494.0,8.8192,15122,113,79,시장지수,TIGER,False,False,False
166400,3,TIGER 200커버드콜5%OTM,15850,5,-35,-0.22,15943.0,-0.063,6,0,79,국내,TIGER,False,False,False
354240,7,KBSTAR 미국고정배당우선증권ICE TR,10565,2,15,0.14,,4.6626,4924,51,79,해외,KBSTAR,False,False,False
252650,1,KODEX 200동일가중,13190,5,-60,-0.45,13242.0,3.6046,3,0,79,국내,KODEX,False,False,False
379790,4,KBSTAR 유로스탁스50(H),10410,5,-20,-0.19,,2.6574,2624,27,78,업종/테마,KBSTAR,False,False,True
252730,2,KBSTAR 모멘텀로우볼,17285,2,95,0.55,17286.0,1.0106,13,0,78,시장지수,KBSTAR,False,False,False
139320,5,TIGER 금은선물(H),9625,2,30,0.31,,0.0521,5358,51,77,국내,TIGER,False,False,True
192720,2,파워 고배당저변동성,32050,2,230,0.72,32193.0,5.124,10434,335,77,시장지수,파워,False,False,False
139290,2,TIGER 200 경기소비재,19130,5,-70,-0.36,19204.0,3.0374,736,14,77,시장지수,TIGER,False,False,False
333960,2,ARIRANG KS모멘텀가중TR,16920,5,-40,-0.24,16922.0,1.3142,27,0,76,시장지수,ARIRANG,False,False,False
307520,2,TIGER 지주회사,12535,3,0,0.0,12569.0,1.5308,2377,29,75,시장지수,TIGER,False,False,False
380340,2,KINDEX Fn5G플러스,9375,5,-95,-1.0,9364.0,0.5307,50933,478,75,시장지수,KINDEX,False,False,False
373490,2,KODEX K-이노베이션액티브,11410,5,-85,-0.74,11462.0,-1.1863,5009,57,74,시장지수,KODEX,False,False,False
098560,2,TIGER 방송통신,10280,2,20,0.19,10312.0,12.2292,15644,160,74,시장지수,TIGER,False,False,False
391670,1,HK 베스트일레븐액티브,9795,3,0,0.0,9796.0,,2652,25,73,국내,HK,False,False,False
391680,1,HK 하이볼액티브,9760,5,-10,-0.1,9774.0,,3499,34,73,국내,HK,False,False,False
314700,2,HANARO 농업융복합산업,13300,2,50,0.38,13299.0,1.1991,1319,17,73,시장지수,HANARO,False,False,False
147970,2,TIGER 모멘텀,26090,5,-30,-0.11,26106.0,0.6202,2352,61,73,시장지수,TIGER,False,False,False
298340,6,ARIRANG 국채선물3년,53495,5,-25,-0.05,53484.0,-0.14,9,0,73,파생,ARIRANG,False,False,False
292560,7,TIGER 일본엔선물,10355,2,55,0.53,10381.0,1.7283,2446,25,72,해외,TIGER,False,False,False
281990,2,KBSTAR 중소형고배당,12720,3,0,0.0,12718.0,2.4484,10614,135,70,시장지수,KBSTAR,False,False,False
302170,6,TIGER 국채선물3년인버스,49795,3,0,0.0,49877.0,0.0301,0,0,70,파생,TIGER,True,False,False
373790,4,KOSEF 미국방어배당성장나스닥,11610,2,65,0.56,,6.3565,431,5,70,업종/테마,KOSEF,False,False,False
117690,4,TIGER 차이나항셍25,15460,2,50,0.32,,-10.3288,11330,174,70,업종/테마,TIGER,False,False,False
300610,2,TIGER K게임,13870,5,-260,-1.84,13868.0,3.5164,5509,76,69,시장지수,TIGER,False,False,False
238670,7,ARIRANG 스마트베타Quality채권혼합,11480,5,-25,-0.22,11494.0,1.0984,26,0,69,해외,ARIRANG,False,False,False
289480,2,TIGER 200커버드콜ATM,11465,5,-25,-0.22,11515.0,1.8165,2,0,69,시장지수,TIGER,False,False,False
373530,4,ARIRANG 신흥국MSCI인버스(합성 H),9490,2,65,0.69,,5.1897,1343,12,68,업종/테마,ARIRANG,True,False,True
261110,7,TIGER 미국달러선물레버리지,9745,2,60,0.62,9748.0,7.6111,1599,15,68,해외,TIGER,False,True,False
368200,2,KBSTAR Fn K-뉴딜디지털플러스,13630,5,-30,-0.22,13629.0,5.6539,1935,26,68,시장지수,KBSTAR,False,False,False
306530,3,HANARO 코스닥150선물레버리지,13565,5,-325,-2.34,13564.0,1.5722,792,10,68,국내,HANARO,False,True,False
301440,2,ARIRANG 코스피중형주,13455,2,5,0.04,13438.0,5.9639,23,0,67,시장지수,ARIRANG,False,False,False
376250,2,ARIRANG 탄소효율그린뉴딜,10280,5,-30,-0.29,10312.0,-0.1453,538,5,67,시장지수,ARIRANG,False,False,False
292340,2,마이티 200커버드콜ATM레버리지,11060,5,-70,-0.63,11147.0,3.6795,207,2,66,시장지수,마이티,False,True,False
315480,2,KBSTAR 200커뮤니케이션서비스,21870,5,-25,-0.11,21935.0,9.4421,258,5,66,시장지수,KBSTAR,False,False,False
261060,2,TIGER 코스닥150IT,16980,5,-230,-1.34,17036.0,-1.8982,18190,309,65,시장지수,TIGER,False,False,False
333940,2,ARIRANG KS로우볼가중TR,14330,2,55,0.39,14328.0,0.5635,22,0,64,시장지수,ARIRANG,False,False,False
145670,3,KINDEX 인버스,4605,2,10,0.22,4605.0,-0.4334,15312,70,64,국내,KINDEX,True,False,False
253280,2,KBSTAR 헬스케어,16095,5,-150,-0.92,16138.0,-2.4559,4740,76,64,시장지수,KBSTAR,False,False,False
289670,6,ARIRANG 국채선물10년,57290,2,5,0.01,57342.0,2.0668,18,1,64,파생,ARIRANG,False,False,False
346000,6,HANARO KAP초장기국고채,47890,5,-20,-0.04,47908.0,3.7507,61,2,63,파생,HANARO,False,False,False
195970,4,ARIRANG 선진국MSCI(합성 H),12145,5,-80,-0.65,,1.1584,7934,96,63,업종/테마,ARIRANG,False,False,True
342600,6,KBSTAR KRX국채선물3년10년스티프너2X,51515,5,-130,-0.25,51498.0,-1.5818,6,0,62,파생,KBSTAR,False,False,False
342500,6,KBSTAR KRX국채선물3년10년스티프너,51005,5,-70,-0.14,50979.0,-0.7386,6,0,61,파생,KBSTAR,False,False,False
215620,2,흥국 S&P코리아로우볼,12660,5,-15,-0.12,12739.0,4.9776,196,2,61,시장지수,흥국,False,False,False
334690,5,KBSTAR 팔라듐선물(H),15095,5,-65,-0.43,,-10.876,1900,28,60,국내,KBSTAR,False,False,True
176710,6,파워 중기국고채,100365,5,-30,-0.03,100340.0,-0.0638,1,0,60,파생,파워,False,False,False
342610,6,KBSTAR KRX국채선물3년10년플래트너,49935,2,70,0.14,49926.0,0.8086,6,0,60,파생,KBSTAR,False,False,False
213610,2,KODEX 삼성그룹밸류,9895,2,10,0.1,9932.0,2.4989,16330,161,59,시장지수,KODEX,False,False,False
342620,6,KBSTAR KRX국채선물3년10년플래트너2X,49270,2,90,0.18,49307.0,1.3916,6,0,59,파생,KBSTAR,False,False,False
267440,4,KBSTAR 미국장기국채선물(H),11815,2,40,0.34,,4.7597,84,0,59,업종/테마,KBSTAR,False,False,True
290080,2,KBSTAR 200고배당커버드콜ATM,8375,2,80,0.96,8364.0,6.3461,45,0,59,시장지수,KBSTAR,False,False,False
217790,2,TIGER 가격조정,26505,5,-295,-1.1,26510.0,-1.2746,45,1,58,시장지수,TIGER,False,False,False
269530,4,ARIRANG S&P글로벌인프라,11560,2,20,0.17,,3.0357,41,0,58,업종/테마,ARIRANG,False,False,False
304670,4,KODEX 미국채울트라30년선물인버스(H),7225,5,-55,-0.76,,-6.8459,24841,180,58,업종/테마,KODEX,True,False,True
302180,6,TIGER 국채선물10년인버스,47645,3,0,0.0,47564.0,-2.0356,0,0,57,파생,TIGER,True,False,False
261260,7,KODEX 미국달러선물인버스2X,9300,5,-65,-0.69,9302.0,-7.369,15828,146,56,해외,KODEX,True,False,False
291680,4,KBSTAR 차이나H선물인버스(H),11015,5,-10,-0.09,,17.7884,2090,23,55,업종/테마,KBSTAR,True,False,True
321410,7,KODEX 멀티에셋하이인컴(H),10990,2,110,1.01,,2.7869,66,0,55,해외,KODEX,False,False,True
140570,2,KBSTAR 수출주,13690,5,-80,-0.58,13745.0,2.8763,116,1,55,시장지수,KBSTAR,False,False,False
333950,2,ARIRANG KS로우사이즈가중TR,18095,3,0,0.0,18088.0,3.4887,20,0,54,시장지수,ARIRANG,False,False,False
269370,4,TIGER S&P글로벌인프라(합성),10800,2,110,1.03,,2.3456,943,10,54,업종/테마,TIGER,False,False,False
285010,2,KBSTAR 200중공업,11700,2,20,0.17,11700.0,9.0569,2621,30,54,시장지수,KBSTAR,False,False,False
371150,4,KBSTAR 차이나항셍테크,8240,2,35,0.43,,-22.5944,171542,1403,54,업종/테마,KBSTAR,False,False,False
157500,2,TIGER 증권,4830,5,-5,-0.1,4843.0,-7.2867,5917,28,53,시장지수,TIGER,False,False,False
250730,4,KBSTAR 차이나HSCEI(H),10380,5,-20,-0.19,,-17.0985,64782,664,52,업종/테마,KBSTAR,False,False,True
261920,4,KINDEX 필리핀MSCI(합성),12775,5,-95,-0.74,,2.6725,986,12,51,업종/테마,KINDEX,False,False,False
292770,6,KODEX 국채선물3년인버스,49770,3,0,0.0,49813.0,0.1408,0,0,51,파생,KODEX,True,False,False
220130,4,SMART 중국본토 중소형 CSI500(합성 H),5615,5,-185,-3.19,,8.3099,7633,42,51,업종/테마,SMART,False,False,True
280920,2,ARIRANG 주도업종,12535,5,-15,-0.12,12522.0,3.2327,2358,29,50,시장지수,ARIRANG,False,False,False
299080,6,KINDEX 국채선물3년인버스,99560,3,0,0.0,99614.0,0.2365,0,0,50,파생,KINDEX,True,False,False
261270,7,KODEX 미국달러선물인버스,9910,5,-30,-0.3,9915.0,-3.7289,2400,23,50,해외,KODEX,True,False,False
278420,2,ARIRANG ESG우수기업,9895,5,-35,-0.35,9926.0,3.675,1481,14,49,시장지수,ARIRANG,False,False,False
139310,5,TIGER 금속선물(H),6995,5,-50,-0.71,,3.7555,10484,73,49,국내,TIGER,False,False,True
266550,2,ARIRANG 중형주저변동50,12215,5,-5,-0.04,12224.0,3.2356,414,5,49,시장지수,ARIRANG,False,False,False
295820,1,ARIRANG 200동일가중,12175,5,-10,-0.08,12171.0,3.4555,225,2,49,국내,ARIRANG,False,False,False
